DEBUG | Thread-8 - leelou.publish.v | QPublishToFolderThread: copyFile: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html to folder: C:\Documents and Settings\Nicole\Desktop\IYJTour\progress_compare
INFO | Thread-8 - QFileUtilities | Copy File: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html to C:\Documents and Settings\Nicole\Desktop\IYJTour\progress_compare\progress_compare_viewlet_swf.html
DEBUG | Thread-8 - QFileUtilities | Copy File: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html to: java.io.FileOutputStream@2b7bd9
DEBUG | Qarbon Thumbnail Builder - leelou.q.d | Thumbnail rebuild manager thread exited
DEBUG | AWT-EventQueue-0 - leelou.kb | free 42626208
DEBUG | AWT-EventQueue-0 - leelou.kb | total66715648
DEBUG | AWT-EventQueue-0 - leelou.kb | remove doc
INFO | AWT-EventQueue-0 - qarbon.common.e.p | Clearing 10 references.
arbon\ViewletBuilder4
INFO | main - QMainApp | user directory = C:\Documents and Settings\Nicole\ViewletBuilder4
INFO | main - QMainApp | Initial Memory: 64MB
INFO | main - QMainApp | Maximum Memory: 508MB
INFO | main - QMainApp | -----------------------------------------------------
INFO | main - QMainApp | System Properties
INFO | main - QMainApp | -----------------------------------------------------
INFO | main - QMainApp | ai.launch.config = ViewletBuilder4.ini
INFO | main - QMainApp | awt.toolkit = sun.awt.windows.WToolkit
INFO | main - QMainApp | file.encoding = Cp1252
INFO | main - QMainApp | file.encoding.pkg = sun.io
INFO | main - QMainApp | file.separator = \
INFO | main - QMainApp | java.awt.graphicsenv = sun.awt.Win32GraphicsEnvironment
INFO | main - QMainApp | java.awt.printerjob = sun.awt.windows.WPrinterJob
INFO | main - QMainApp | java.class.path = C:\Program Files\Qarbon\ViewletBuilder4\lib\qarbon-leelou.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\qarbon-common.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\jdom.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\activation.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-awt-util.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-bridge.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-css.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-dom.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-ext.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-extension.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-gui-util.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-gvt.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-parser.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-script.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-svg-dom.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-svggen.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-swing.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-transcoder.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-util.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\batik-xml.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\commons-net.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\iText.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\jai_codec.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\jai_core.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\javaswf.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\jdxslt.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\js.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\junit.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\log4j.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\mail.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\mlibwrapper_jai.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\soap.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\ssce.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\tritonus_mp3.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\tritonus_share.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\xercesImpl.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\xml-apis.jar;C:\Program Files\Qarbon\ViewletBuilder4\lib\xmlParserAPIs.jar;
INFO | main - QMainApp | java.class.version = 49.0
INFO | main - QMainApp | java.endorsed.dirs = C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\endorsed
INFO | main - QMainApp | java.ext.dirs = C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\ext
INFO | main - QMainApp | java.home = C:\Program Files\Qarbon\ViewletBuilder4\jre
INFO | main - QMainApp | java.io.tmpdir = C:\DOCUME~1\Nicole\LOCALS~1\Temp\
INFO | main - QMainApp | java.library.path = C:\Program Files\Qarbon\ViewletBuilder4;.;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\Program Files\Intel\DMIX;C:\Program Files\Common Files\Roxio Shared\DLLShared\;C:\Program Files\Common Files\Roxio Shared\DLLShared\;C:\Program Files\Common Files\Roxio Shared\9.0\DLLShared\;C:\Program Files\jEdit;C:\Program Files\Microsoft SQL Server\90\Tools\binn\;C:\Program Files\QuickTime\QTSystem\
INFO | main - QMainApp | java.runtime.name = Java(TM) 2 Runtime Environment, Standard Edition
INFO | main - QMainApp | java.runtime.version = 1.5.0_09-b03
INFO | main - QMainApp | java.specification.name = Java Platform API Specification
INFO | main - QMainApp | java.specification.vendor = Sun Microsystems Inc.
INFO | main - QMainApp | java.specification.version = 1.5
INFO | main - QMainApp | java.vendor = Sun Microsystems Inc.
INFO | main - QMainApp | java.vendor.url = http://java.sun.com/
INFO | main - QMainApp | java.vendor.url.bug = http://java.sun.com/cgi-bin/bugreport.cgi
INFO | main - QMainApp | java.version = 1.5.0_09
INFO | main - QMainApp | java.vm.info = mixed mode
INFO | main - QMainApp | java.vm.name = Java HotSpot(TM) Client VM
INFO | main - QMainApp | java.vm.specification.name = Java Virtual Machine Specification
INFO | main - QMainApp | java.vm.specification.vendor = Sun Microsystems Inc.
INFO | main - QMainApp | java.vm.specification.version = 1.0
INFO | main - QMainApp | java.vm.vendor = Sun Microsystems Inc.
INFO | main - QMainApp | java.vm.version = 1.5.0_09-b03
INFO | main - QMainApp | line.separator = 

INFO | main - QMainApp | log4j.configuration = jar:file:/C:/Program%20Files/Qarbon/ViewletBuilder4/lib/qarbon-common.jar!/qarbon/common/resources/logger.xml
INFO | main - QMainApp | os.arch = x86
INFO | main - QMainApp | os.name = Windows XP
INFO | main - QMainApp | os.version = 5.1
INFO | main - QMainApp | path.separator = ;
INFO | main - QMainApp | sun.arch.data.model = 32
INFO | main - QMainApp | sun.boot.class.path = C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\rt.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\i18n.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\sunrsasign.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\jsse.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\jce.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\lib\charsets.jar;C:\Program Files\Qarbon\ViewletBuilder4\jre\classes
INFO | main - QMainApp | sun.boot.library.path = C:\Program Files\Qarbon\ViewletBuilder4\jre\bin
INFO | main - QMainApp | sun.cpu.endian = little
INFO | main - QMainApp | sun.cpu.isalist = pentium_pro+mmx pentium_pro pentium+mmx pentium i486 i386 i86
INFO | main - QMainApp | sun.desktop = windows
INFO | main - QMainApp | sun.io.unicode.encoding = UnicodeLittle
INFO | main - QMainApp | sun.jnu.encoding = Cp1252
INFO | main - QMainApp | sun.management.compiler = HotSpot Client Compiler
INFO | main - QMainApp | sun.os.patch.level = Service Pack 2
INFO | main - QMainApp | user.country = US
